soc,charge_MW,discharge_MW,import_MW,export_MW,net_MW,objective_cost,run_id
0.5368421052631579,0.0,12.36,14.85163527,0.0,14.85163527,45551.649548329995,0
0.5368421052631579,0.0,0.0,25.61946785,0.0,25.61946785,45551.649548329995,0
0.5368421052631579,0.0,0.0,24.58397957,0.0,24.58397957,45551.649548329995,0
0.7743421052631579,12.36,0.0,36.58109296,0.0,36.58109296,45551.649548329995,0
1.0,11.743711911357337,0.0,35.92142956135734,0.0,35.92142956135734,45551.649548329995,0
1.0,0.0,0.0,24.83470126,0.0,24.83470126,45551.649548329995,0
1.0,0.0,0.0,26.19666667,0.0,26.19666667,45551.649548329995,0
0.736842105263158,0.0,12.359999999999996,15.599220480000003,0.0,15.599220480000003,45551.649548329995,0
0.4736842105263159,0.0,12.359999999999998,22.546100520000003,0.0,22.546100520000003,45551.649548329995,0
0.21052631578947378,0.0,12.359999999999998,22.298405090000003,0.0,22.298405090000003,45551.649548329995,0
0.21052631578947378,0.0,0.0,34.97362482,0.0,34.97362482,45551.649548329995,0
0.21052631578947378,0.0,0.0,33.81940341,0.0,33.81940341,45551.649548329995,0
0.4480263157894738,12.36,0.0,46.54180884,0.0,46.54180884,45551.649548329995,0
0.6855263157894738,12.36,0.0,48.6975,0.0,48.6975,45551.649548329995,0
0.9230263157894738,12.36,0.0,49.78111111,0.0,49.78111111,45551.649548329995,0
0.9230263157894738,0.0,0.0,34.66035584,0.0,34.66035584,45551.649548329995,0
0.9230263157894738,0.0,0.0,35.169247,0.0,35.169247,45551.649548329995,0
0.659736842105263,0.0,12.36,25.443896459999998,0.0,25.443896459999998,45551.649548329995,0
0.3964473684210526,0.0,12.36,26.8327837,0.0,26.8327837,45551.649548329995,0
0.1331578947368421,0.0,12.36,27.12984687,0.0,27.12984687,45551.649548329995,0
0.0,0.0,6.254159999999999,31.677840000000003,0.0,31.677840000000003,45551.649548329995,0
0.0,0.0,0.0,35.10596615,0.0,35.10596615,45551.649548329995,0
0.0,0.0,0.0,32.22280021,0.0,32.22280021,45551.649548329995,0
0.0,0.0,0.0,30.26906953,0.0,30.26906953,45551.649548329995,0
