date,day_index,soc_trajectory,gpt_reported_cost,computed_cost_actual,milp_actual_cost,feasible,violations,api_cost_usd
2019-01-02,0,"[0.5, 0.5, 0.75, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12345.67,58389.7800631579,57304.64730166206,False,t=1: charge=13.0105 kW > cmax=12.36; t=2: charge=13.0105 kW > cmax=12.36,0.01605
2019-01-03,1,"[0.5, 0.75, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1234.56,46556.22444,45356.73145642106,False,t=0: charge=13.0105 kW > cmax=12.36; t=1: charge=13.0105 kW > cmax=12.36,0.01632
2019-01-04,2,"[0.5, 0.75, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1234.56,46956.896623157896,44908.80584836564,False,t=0: charge=13.0105 kW > cmax=12.36; t=1: charge=13.0105 kW > cmax=12.36,0.015465
2019-01-05,3,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 0.75, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12345.67,25211.21166,23099.297816842103,False,t=10: charge=13.0105 kW > cmax=12.36; t=11: charge=13.0105 kW > cmax=12.36,0.01599
2019-01-06,4,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.75, 1.0, 0.75, 0.5, 0.75, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",12345.67,25707.777222105266,24502.929626315785,False,t=10: charge=13.0105 kW > cmax=12.36; t=11: charge=13.0105 kW > cmax=12.36; t=14: charge=13.0105 kW > cmax=12.36; t=15: charge=13.0105 kW > cmax=12.36,0.015705
2019-01-07,5,"[0.5, 0.75, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1234.56,59721.49580421051,58163.63115499721,False,t=0: charge=13.0105 kW > cmax=12.36; t=1: charge=13.0105 kW > cmax=12.36,0.015375
2019-01-08,6,"[0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,46891.31674105264,45999.22918736842,False,t=1: charge=13.0105 kW > cmax=12.36; t=2: charge=13.0105 kW > cmax=12.36,0.016095
2019-01-09,7,"[0.5, 0.725, 0.95, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0, 0.0, 0.225, 0.45, 0.675, 0.9, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0]",,32348.590020547377,31957.53806947368,True,,0.019755
2019-01-10,8,"[0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12345.67,50096.31496210526,49450.93350487535,False,t=1: charge=13.0105 kW > cmax=12.36; t=2: charge=13.0105 kW > cmax=12.36,0.01563
2019-01-11,9,"[0.5, 0.5, 0.5, 0.75, 1.0, 1.0, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1234.56,25711.63945368421,25130.749052631578,False,t=2: charge=13.0105 kW > cmax=12.36; t=3: charge=13.0105 kW > cmax=12.36,0.01542
